id;campaign_id;title;start_date;end_date
1;569;huzzah samovar simplistic;2024-02-12T00:25:46;2024-02-12T03:49:24
2;26515;doubt;2024-02-11T19:39:38;2024-02-11T16:21:19
3;8187;carburise;2024-02-11T23:18:24;2024-02-11T19:59:13
4;24762;closely redden;2024-02-12T03:43:45;2024-02-12T00:20:50
5;2706;proportion;2024-02-12T10:50:31;2024-02-11T20:58:49
6;12104;defendant yet volatility;2024-02-11T18:30:10;2024-02-12T14:41:51
7;9564;as reproachfully;2024-02-12T09:15:56;2024-02-11T18:19:04
8;7451;hence yuck gosh;2024-02-11T16:08:08;2024-02-11T19:02:19
9;11534;thoughtfully;2024-02-12T06:44:44;2024-02-12T10:48:02
10;2877;upright whether;2024-02-12T13:32:49;2024-02-11T16:25:07
