id;company_id;company_name;industry;revenue;number_of_employees;address;website;status
1;19901;vivaciously croup times;uh-huh mostly shakily;14.47;14226;uh-huh pro gleeful;gently;19216
2;20640;growth export;shyly and;32599.57;18323;ick toward solicitor;via;8205
3;26670;and sharp extraneous;as;32488.56;30434;the intensely;huzzah and lest;2629
4;18159;leach archeology potter;wrongly;8193.1;31039;regularise;emergence;26233
5;6388;staid meh;psst bah inasmuch;11645.28;20998;stool operator yet;airlift;16913
6;10062;forenenst casino demonstrate;shyly aw;22333.04;15609;keenly woot;once fanlight;29863
7;22289;glass airplane solemnly;surprisingly;4025.01;25453;soon feature;gorgeous;26666
8;7843;yahoo definite blinker;plywood aha greatly;19425.53;6442;but delightfully hyena;euphoric;13249
9;23176;muffled;ferociously which lasso;27804.29;11460;democratize;readily gadzooks across;1559
10;14779;geez;bah how;22485.03;14250;duh since;pfft;22297
