id;focus_group_id;name;description;user_category;start_date;end_date;status
1;17949;rebound forenenst;bravely;outside oddly;2024-02-12T10:30:05;2024-02-12T11:20:18;20302
2;19887;fairly strew;duh;joyously behind;2024-02-12T02:30:48;2024-02-12T13:40:41;26978
3;6164;patio;hopelessly worth;expire sediment;2024-02-12T01:44:19;2024-02-12T10:49:45;25616
4;31040;impudence after bake;anenst yum;silently amongst;2024-02-11T20:06:26;2024-02-12T00:51:57;5847
5;14544;fast shear;missile whoa;muck above that;2024-02-12T08:50:20;2024-02-12T02:12:07;1043
6;28500;brr whenever;upward;sturdy ultimately;2024-02-12T01:41:09;2024-02-12T08:42:26;25874
7;20513;reaffirm spiral;linger hmph;kindly;2024-02-12T10:24:53;2024-02-12T12:30:19;2309
8;12524;hence slight between;phooey um;terribly yum;2024-02-12T03:10:08;2024-02-12T01:23:01;32198
9;7846;circa yum deceivingly;survey watch;agitated next;2024-02-12T14:06:12;2024-02-11T22:10:38;25343
10;2075;excepting lazily shopping;after;venerate;2024-02-12T06:18:50;2024-02-12T14:37:25;10925
