id;redemption_option_id;description;points_required;available_quantity;expiration_date
1;18803;gleefully;24015;25358;2024-02-12T15:30:19
2;719;even;14701;14905;2024-02-12T14:19:20
3;24577;frequent atop doubtfully;32102;11069;2024-02-11T23:25:01
4;6433;noisily real;24728;22603;2024-02-11T23:16:01
5;15115;lest drat;8941;25860;2024-02-12T08:26:21
6;12360;bah silent;5932;23764;2024-02-12T02:39:32
7;4624;oat;23605;24562;2024-02-12T02:01:01
8;6838;gratefully rewarding editor;11206;7132;2024-02-11T20:02:16
9;29715;speak generally;15786;16133;2024-02-12T09:21:47
10;32127;and rule;12094;5746;2024-02-11T18:16:01
