id;transaction_id;description;points;transaction_date;user_id
1;24320;meh;29228;2024-02-12T00:32:03;11873
2;19820;or reclaim tavern;5923;2024-02-12T02:33:09;936
3;10127;nimble;15951;2024-02-12T02:53:46;31001
4;29614;span;31421;2024-02-12T10:14:46;6332
5;14977;whether;24882;2024-02-12T05:52:57;25746
6;22109;spirited;24160;2024-02-12T09:21:08;6867
7;24288;toe excepting;485;2024-02-12T09:14:04;16330
8;8354;once with bath;9695;2024-02-11T18:58:26;27445
9;22488;overtax feline deduct;29967;2024-02-11T22:01:02;32049
10;5981;screen convoke;32175;2024-02-12T06:38:17;4803
