id;quiz_progress_id;user_id;survey_id;progress;started_date;completed_date
1;4209;22745;18360;1818.48;2024-02-12T14:23:15;2024-02-12T03:34:50
2;19355;5824;10537;21022.71;2024-02-11T21:02:43;2024-02-11T18:38:24
3;20099;27450;11988;10490.73;2024-02-11T16:04:26;2024-02-12T03:16:50
4;13164;21635;10613;14010.66;2024-02-12T07:05:56;2024-02-12T15:48:43
5;31212;21716;30576;11755.55;2024-02-12T12:20:31;2024-02-12T08:29:46
6;16907;25630;9207;1359.88;2024-02-12T09:20:07;2024-02-11T20:45:15
7;31189;29520;22895;24025.34;2024-02-12T14:48:24;2024-02-12T07:57:31
8;21632;5583;17357;4224.63;2024-02-12T09:58:38;2024-02-12T13:44:34
9;28099;13529;10189;6488.99;2024-02-11T23:48:17;2024-02-11T20:34:00
10;1041;27074;20687;28946.9;2024-02-11T16:17:24;2024-02-11T21:49:56
