id;insight_id;insights;survey_id;created_by_user_id;created_date
1;7169;considering;27161;3542;2024-02-12T03:33:35
2;3138;cheery banjo huzzah;28014;5906;2024-02-12T06:22:58
3;30762;tripod edge rosy;27874;32729;2024-02-11T22:42:12
4;20635;like consequently;16779;11607;2024-02-11T17:50:43
5;19619;nuzzle boo whose;16782;20520;2024-02-12T01:16:33
6;22974;last;32675;3250;2024-02-11T16:03:32
7;29884;tonic blah eyeball;4894;21680;2024-02-11T22:21:35
8;25794;outline vouchsafe;3178;22044;2024-02-12T00:39:54
9;24629;why beneath well-documented;22336;30393;2024-02-12T06:20:23
10;31875;ew amid;25205;10395;2024-02-12T13:33:44
