id;requirement_id;requirement_description;survey_id;created_by_user_company_id;created_date
1;26819;ick yowza;9736;6406;2024-02-11T22:41:08
2;20898;provided trustworthy;19382;30315;2024-02-12T13:24:46
3;27459;righteously hm hmph;22850;27343;2024-02-11T23:15:07
4;27141;when;15602;6493;2024-02-11T19:22:46
5;591;poorly joyfully thankfully;32299;12572;2024-02-12T15:08:37
6;18099;on tomorrow off;22844;26254;2024-02-12T07:29:32
7;2417;about fall hostess;5986;5232;2024-02-12T15:55:22
8;16384;mortal er;10883;14305;2024-02-11T16:46:22
9;10588;motion boohoo;1128;9952;2024-02-12T06:48:46
10;9206;surface whenever inasmuch;27455;28897;2024-02-12T01:44:16
